Question,Choice ,Yes/No
What classes should we teach this summer,Art and Crafts,
What classes should we teach this summer,Cooking and Baking,
What classes should we teach this summer,Gardening,
What classes should we teach this summer,Woodworking,
What classes should we teach this summer,Music,
What classes should we teach this summer,Technology,
What classes should we teach this summer,Personal Care,
What classes should we teach this summer,Physical Fitness,
What classes should we teach this summer,Community Engagement,
What classes should we teach this summer,Money Management,
